Casino/Partner;Affiliate Website;Score (1-10);Traffic accepted;Crypto Betaling?;Opmerking;Affiliate link;;;
BitStarz;https://starzpartners.com/;7;Website;Ja;Nieuwe link werkt goed;https://b1t5t4rz.com/b2b7d0ed7;;;
Wild Vegas;https://www.gwages.com/;8;Website;Ja;Goede backend;https://www.wildvegaslinks.com/click/11/4315/15512/1;;;
7Bit;https://7bitpartners.com/;8;Website;Ja;Goede backend;https://www.7bitcasino.com/a/b8c1d2e3f4;;;
Cloudbet;N.v.t. - eigen affiliate site;5;Website;Ja;Link kwaliteit matig;https://cldbt.cloud/go/en/landing/bitcoin-casino?af_token=&aftm_campaign=CryptoCasino&aftm_source=GEO&aftm_medium=link&aftm_content=cryptoinfo;;;
Cryptoloko;https://www.luckypartnersclub.com/;8;Website;Ja;Landingpage geselecteerd;https://cryptolokolink.com/click/77/441/6060/1;;;
Dreams Casino;https://www.gwages.com/;8;Website;Ja;Logo nog aanpassen;https://www.dreamslinks.com/click/64/305/15512/1;;;
Betplay;https://affiliates.betplay.io/;8;Website;Ja;Nette backend;https://betplay.io?ref=b417df55cd18;;;
Prism Casino;https://www.gwages.com/;4;Website;Ja;Link stuurt soms verkeerd;https://www.prismlinks.com/click/6/4305/15512/1;;;
CoinPoker;N.v.t. (werkt niet goed);5;Website;Ja;Niet actief (link dood);https://record.coinpokeraffiliates.com/_BPlLejNitgfUOsjNOfgKeWNd7ZgqdRLk/1/;;;
BCGame;business@bc.game (email aanvraag);8;Website + Social Media;Ja;Email gestuurd, wachten op antwoord;;;;
Lucky Block;https://www.diversumpartners.com/;8;Website;Ja;Account pending;;;;
RevenueLab;https://revenuelab.biz/;5;Website;Ja;Website basis goed, lage score;;;;
Winshark;Pending (via offer site);Pending;Website;Ja;Nog afwachten;;;;
Bet365;https://www.bet365partners.com/;Pending;Website;Ja;Aanvraag gedaan, afwachten;;;;
Betzard;https://7bitpartners.com/;6;Website;Ja;Gaat van 7bit naar Betzard;https://7bit.partners/pe27a3a44;;;
Slots of Vegas;https://www.gwages.com/;;Website;Ja;8 casino’s op affiliate website;https://www.slotsofvegaslinks.com/click/15/4298/15512/1;;;
Golden Billy;https://account.alpha-affiliates.com/partner/login?redirect=https://account.alpha-affiliates.com/partner/dashboard;7;Website;Ja;Op de website live;https://goldenbillylink.com/h62218aaa;;;
Ninlay;https://account.alpha-affiliates.com/partner/login?redirect=https://account.alpha-affiliates.com/partner/dashboard;7;Website;Ja;Op de website live;https://ninlayplay.com/hecd2573b;;;
Crownslots;https://account.alpha-affiliates.com/partner/login?redirect=https://account.alpha-affiliates.com/partner/dashboard;7;Website;Ja;Nog niet op de website;https://crownslotslink.com/hfb84c81c;;;
Loki;https://account.alpha-affiliates.com/partner/login?redirect=https://account.alpha-affiliates.com/partner/dashboard;7;Website;Ja;Nog niet op de website;https://lokicasinolink.com/hd8471080;;;
Rekoocasio;https://account.alpha-affiliates.com/partner/login?redirect=https://account.alpha-affiliates.com/partner/dashboard;7;Website;Ja;Nog niet op website;https://rakoolink.com/ha03e587d;;;
Monixbet;;7;Website;Ja;Nog niet op website;https://monixplay.com/h49d32cd1;;;
1xbet;https://1x.partners/;8;Website;Ja;Voor sportsetting;https://refpa3740576.top/L?tag=d_3915280m_1599c_&site=3915280&ad=1599;;;
